DBSN,PID,SSN,AnnotationID,GTA,GTO,Notes,ST,ET,S,G,Len,LTL,Notes
1,40,0,27e374ed5e794719a2398b106f787008,On,Gas,turn on burner,177080,180200,1,1,3.1,X ( F (C_StovePot U StovePot) & G (C_StovePotKnob U StovePotKnob) & ( G (C_StovePotKnob U Stove_On))),
2,40,1,BJR81ClIoMa35eEvodMIwlbTmiAs7Ghe,On,Lid,put lid on water,190595,194688,1,1,4.1,X ( F (C_StovePot U StovePot) & G (C_Lid U Lid) & ( G (C_Lid U Lid_FarFrom_CT) & G ( ( C_Lid U ( Lid_CloseTo_Pot & Lid_OnTopOf_Pot)  ) ))),
3,40,2,ZU0Eb3OCwcRd4rZFcpWY2azkh6uhm1dz,Fetch,Onion,pick up onion,228111,230544,1,1,2.4,X ( F (C_Veges U Veges) & G (C_Onion U Onion) & G (C_Onion U Onion_FarFrom_CT) ),
4,40,3,VIs5K2a6NyJlUie5lArhGZOCyEwNyUn8,Fetch,Onion,"turn around, put onion on board",234158,238339,1,1,4.2,X ( ( F (C_CB U CB) ) & ( G F (Onion_OnTopOf_CB & Onion_CloseTo_CB) ) ),
5,40,4,LaVRb8yl60GrKD0cLrotBdrkpVz1P3b9,Fetch,Carrot,pick up carrot,253357,255697,1,1,2.3,X ( F (C_Carrot U Carrot) & G (C_Carrot U Carrot) & G (C_Carrot U Carrot_FarFrom_CT) ),
6,40,5,X8i0X5UMsL4GjrMqAuv6W2FTfxWsBEIZ,Fetch,Carrot,"turn around, put carrot on board",261351,263827,1,1,2.5,X ( ( F (C_CB U CB) ) & ( G F (Carrot_OnTopOf_CB & Carrot_CloseTo_CB) ) ),
7,40,6,vP4HjwJLqOgXuBAkWIkMIYS22Cety484,Cut,Onion,chop onion,275538,277933,1,1,2.4,X ( G (C_Knife U Knife) & G (C_Knife U Knife_FarFrom_CT)  & G (C_Knife U Knife_OnTopOf_Onion) & G ( ( C_Knife & C_Onion ) U Onion_Pieces) ),
8,40,7,Jso0OKGnQMYGidke0FGLOfaL2OnqUa90,Cut,Tomato,pick up tomato,288465,290804,1,1,2.3,X (G (C_Tomato U Tomato) & G (C_Tomato U Tomato_FarFrom_CT)),
9,40,8,RjDP1kpU4afpycu3uKpdi90eTn70cUGE,Cut,Tomato,pick up tomato,291942,294725,1,1,2.8,X (G (C_Tomato U Tomato) & G (C_Tomato U Tomato_FarFrom_CT) ),
10,40,9,QxngnHyTy86HFgqBpRGgjt6ZSrcVqQC7,Cut,Tomato,pick up tomato,298129,301611,1,1,3.5,X (G (C_Tomato U Tomato) & G (C_Tomato U Tomato_FarFrom_CT) ),
11,40,10,pXQYW9DPy22LdQWw2osRlLLYg8yAYilO,Cut,Tomato,chop tomato,303678,305737,1,1,2.1,X (G F (Tomato_OnTopOf_CB & Tomato_CloseTo_CB) & X ( G (C_Knife U Knife) & G (C_Knife U Knife_FarFrom_CT)  & G (C_Knife U Knife_OnTopOf_Tomato) & G ( ( C_Knife & C_Tomato ) U Tomato_Pieces) )),
12,40,11,Z3izVtga4gMz31nzQFTZFOn664YbAayC,On,Gas,turn on pan burner,321764,326932,1,1,5.2,X ( F (C_StovePan U StovePan) & G (C_StovePanKnob U StovePanKnob) & ( G (StovePanKnob U Stove_On))),
13,40,12,fc8b4f0042824ebdbbfa6d246ca40ed3,Add,Oil,pour oil into pan,354360,357480,1,1,3.1,X (F (C_StovePan U StovePan | G (C_Oil U Oil) & G (C_Oil U Oil_FarFrom_CT) ) & F G (Oil_insideof_Pan) & G F (Oil_LeftOf_Pan & Oil_OnTopOf_CT & Oil_CloseTo_CT)),
14,40,13,R45F3YPuUt8JcwRjTUGMhWFbruk5Z1ZL,Add,Veges,dump veggies in pan,386986,389861,1,1,2.9,X (F (C_CB U CB) & ( G (C_CB U CB) & G (C_CB U CB_FarFrom_CB) ) & F G (Veggies_insideof_Pan)),"Go to CB from CT, Pick up CB, Go to Pan, Pour CB (Veges) into Pan, Turn to CB, Place CB on CT"
15,40,14,doOlAOKu6ZmgyxDgtRKLfjFLia7Zj9Tk,Add,Salt,salt the veggies,399728,403953,1,1,4.2,X ( ( G (C_Salt U Salt) & G (C_Salt U Salt_FarFrom_CT) ) & F G (Salt_insideof_Pan) & G F (Salt_LeftOf_Pan & Salt_OnTopOf_CT & Salt_CloseTo_CT)),Same as oil except salt
16,40,15,BmJTRgwRyB1Kh5qnz8vrgpxG6iZA3UGX,Add,Pepper,grind pepper on veggies,435974,439660,1,1,3.7,X ( ( G (C_Pepper U Pepper) & G (C_Pepper U Pepper_FarFrom_CT) ) & F G (Pepper_insideof_Pan) & G F (Pepper_LeftOf_Pan & Pepper_OnTopOf_CT & Pepper_CloseTo_CT)),Same as salt except pepper
17,40,16,CdIEl1iOW8jADxAJB5f6Zjy6NqDMakVi,Mix,Veges,stir veggies with spoon,452095,455596,1,1,3.5,X ( ( F (C_StovePot U StovePot) | F (C_StovePan U StovePan) ) & G (C_Spatula U Spatula) & G (C_Spatula U Spatula_FarFrom_Holder) & F (C_Spatula U Spatula_CloseTo_StovePan) & G ((C_Spatula & C_Veggies) U Veggies_Mixed) & G (C_Spatula U Spatula_InsideOf_Holder)),"Go to stove pot, pick up spatula from holder, stir veggies in the pan, place back in holder"
18,40,17,9YZZa2tjApxeuDK373a5ZgCocscqykfA,Cut,Potato,"pick up potato, chop potato",487578,491934,1,1,4.4,X ( G (C_Potato U Potato) & G (C_Potato U Potato_FarFrom_CT) & G F (Potato_OnTopOf_CB & Potato_CloseTo_CB)  & X ( G (C_Knife U Knife) & G (C_Knife U Knife_FarFrom_CT)  & G (C_Knife U Knife_OnTopOf_Potato) & G (C_Potato U Potato_Pieces) ) ),Change all tomato to Potato
19,40,18,ak7rRIc0cDETWvxxu6wiDX9eh0FM4y9h,Cut,Potato,pick up potato,494451,498599,1,1,4.1,G (C_Potato U Potato) & G (C_Potato U Potato_FarFrom_CT) ,Change to potato
20,40,19,sypRT7JKMmkeOVfVz729cAD5A6k3WuEd,Cut,Potato,chop potato,504184,506545,1,1,2.4,X ( G (C_Potato U Potato_FarFrom_CT) & G F (Potato_OnTopOf_CB & Potato_CloseTo_CB)  & X ( G (C_Knife U Knife) & G (C_Knife U Knife_FarFrom_CT)  & G (C_Knife U Knife_OnTopOf_Potato) & G (C_Potato U Potato_Pieces) ) ),Change to potato
21,40,20,odiDrWRflxwYXOPBjLsQiqs2NnWYJ5FV,Cut,Carrot,pick up carrot,523977,526919,1,1,2.9,G (C_Carrot U Carrot) & G (C_Carrot U Carrot_FarFrom_CT) ,Change to carrot
22,40,21,6XMQAl1md1Lz7aAOF8uZ1txUIDQi0CNy,Cut,Carrot,put down carrot,533952,537152,1,1,3.2,G (C_Carrot U Carrot) & G (C_Carrot U Carrot_FarFrom_CT) & G F (Carrot_OnTopOf_CB & Carrot_CloseTo_CB) ,Change to celery
23,40,22,uklNcqSwaSG1hZLd9Mo1FaGCuMrVXFw8,Cut,Celery,chop celery,549701,557928,1,1,8.2,X ( G (C_Knife U Knife) & G (C_Knife U Knife_FarFrom_CT)  & G (C_Knife U Knife_OnTopOf_Celery) & G (C_Celery U Celery_Pieces) ),Change  to celery
24,40,23,EHY2F85BOeywUl5aRDjJZByiqWtdx6xJ,Off,Lid,take lid off water,576540,580416,1,1,3.9,X ( F (C_StovePot U StovePot) & G (C_Lid U Lid) & ( G (C_Lid U Lid_FarFrom_StovePot) & G ( ( C_Lid U ( Lid_CloseTo_CT & Lid_OnTopOf_CT) ) ))),Opposite of put lid on
25,40,24,6VfjqBYqzngxo7f83l2COTf7eGreMLZ0,Add,Veges,"take veggies, put veggies in water",612027,617227,1,1,5.2,X ( F (C_CB U CB) & G (C_CB U CB) & G (C_CB U CB_FarFrom_CT) & F (C_StovePot U StovePot) & F G ((C_CB & C_Pot) U Veggies_insideof_Pot) & F (C_CB U CB) & G F (C_CB U CB_OnTopOf_CT)),Pour veges into the pot
26,40,25,tznNogt30s9RhnohZmbjuDqliNAvSoMQ,Off,Gas,"go to veggies, turn off burner",648645,654937,1,1,6.3,X ( F (C_StovePot U StovePot) & G (C_StovePanKnob U StovePanKnob) & ( G (StovePanKnob U Stove_Off))),Turn off stove pot
